Id,Label,Comment
32,1,Đi cho nhẹ đầu chứ ở lại đần đần bị pressing đến chếtt
33,0,"Soul 7Cappybara, GAM liệu có cần anh k  Văn Tứ"
34,0,"Sao tụi mày chửi style dữ zậy ta Trong khi đó MSI này thằng tệ nhất là kati.... Oy levi cũng yếu... Cặp mid rừng yếu quá thì dẫn tới bot bị rình rập, băng trụ thôi....."
35,0,còn 1 anh Sơn nữa Sơn Hoàng Nguyễn
36,0,Nhật Minh Ngọc Phong sớm muộn
37,0,Thank sờ tai ha
38,2,Vẫn lấy cái HCV sea games ra khẽ ha. Đù má cười ỉa
39,0,"Bảo Thanh m nhớ cái tg thg style nhảy thẳng qua ở msi ko, ghép chữ gam vô cái tg đó là ra đc 1 meme"
40,0,"Nút E Sty1e nhấn, GAM về nước"
41,0,Thông báo Thank kìu thoát pressing
42,0,Lân Hoàng đã tới lúc dành cho DQK rồi
43,0,Đăng Quân hơi tội nhưng cứ Pressing đã 
44,0,điều GAM con mong chờ đã tới
45,1,"Cút là đúng, từ cái đợt toxic trên stream Faker là ko ưa rồi, ko xứng đáng đc thi đấu chuyên nghiệp, cảm ơn Style vì đã góp công khiến Riot Hàn thu hết acc của VN"
46,0,Phạm Ngọc Thiện dung y ban nhe
47,2,Ánh Dương đây r đcm mãi mới cho cút
48,0,"Hồ Thanh Rin ông này out trình Guma dạy Ruler đánh AD, ADCKING GAM CẦN ANH !"
49,0,Nguyễn Đức Thắng mai đăng bài welcome Slayder nữa là đẹp
50,1,Trần Đức Định ứng tuyển vô thay Sì Tân Đài thôi
51,0,Vũ Hùng đúng quy trình
52,1,Oánh gà thì nghỉ nhường chỗ cho slayder
53,0,Thén kìu sờ ti le
54,0,Trần Tùng ngày thanh trừng
55,0,"shogun về gam gánh kèo đi, chứ bot nát quá"
56,0,Đưa shoogun vào team chắc đỉnh hơn
57,0,Cho hỏi bên đó có thuê T ko. Hello Junior. Trùm xạ thủ tất cả các loại adc. Đi đường với Máy farm vượt máy 100 crep. Chấp máy 5 mạng chiến công đầu
58,0,Gam shogun chăng 
59,0,:DD cuối cùng cũng có quyết định đúng đắn nhất của mùa chuyển nhượng
60,0,Đào Tròn vô giúp GAM vô địch nào
61,0,mê cái cách a này đánh con zeri
62,1,Thai Anhh Kevin Lê a phong cách nấu ăn rồi
63,0,Zin mập nữa.Zin mập đánh natilus đúng chán móc toàn hụt
64,1,Hiến tế style để thoát pressing đến từ vị trí gân đàm
65,1,Đầu đất out à
66,0,Slayer gam cần a
67,0,Đây rồi cuối cùng ngày này cũng tới. Welcome shogun
68,0,Vì cú nhảy của con Zeri tiễn Gam về nước
69,0,Méo Nguyễn Hoàng Dĩ thích cái cách anh này nhảy E qua tường giữ vị trí
70,0,Thôi dù gì gam cũng đã kick rồi thì cũng chúc anh zai thành công thôi 
71,0,Sure Slayder hoặc Shogun rồi. Sup ngon thay Zin nữa là ngon
72,0,tế thần
73,0,sờ lây đơ gam cần anh
74,0,Ngô ToànHiếu Bùi out giao tranh rồi
75,0,Dù gì cũng chia tay rồi mọi người cứ nặng nề với style làm gì trong ba năm khoác áo gam style cũng để lại không ít dấu ấn mà chỉ là ra thế giới hơi xước tý thôi. Chúc style vẫn sẽ mạnh mẽ bước tiếp ở chặng đường phía trước luôn cháy hết mình với đam mê… 
76,0,Nguyen Tat Tu mê cái cách anh này lướt e out team
77,0,ko quá khó hiểu khi style đii điều này gần như dự báo trc rồi
78,1,Thanks you thằng hlv nữa
79,0,Vẫn thấy tội Style lúc debut đánh khá hay im lặng nổ lực vì dính drama vạ miệng góp phần mấy chức vô địch giờ bị pressing quá phải out đúng là miệng đời mà
80,0,Còn 10 ngày nữa công bố Shogun và Ren làm HLV
81,0,Cuối cùng ngày này cũng tới
82,2,Đánh MSI non vl ra 
83,0,"Slayder sẽ ko rời se , còn bầy trâu đang lục đục nên nhiều khả năng là soghun thay thế"
84,0,2h sau: Thank You Zin
85,0,tam biet em nhe style
86,0,Sắp tới là công bố Gam Ren + Gam Slayder
87,0,Mê cái cách a này đánh ad giúp team về nước sớm
88,0,Minh Hoàng nhanh như điện ra khỏi gam luôn mà
89,0,Đánh con zeri nhảy 1 phát từ London về Việt Nam luôn thì chia tay là đúng
90,0,Tôi thích nhìn ông này đánh con Zeri cơ
91,0,Đức Huy đánh đang hay
92,0,Trương Đặng Anh Khoa chia tay Style thật em ạ 
93,1,"Có 5 ông thầy bói ,ô sờ ngà,vòi ,chân ,đuôi còn ngy nhất là ô sờ tai"
94,0,cuối cùng thì ngày này cũng đã tới
95,0,Thank you bị chửi nhiều nhất 
96,0,"thank you style, welcome tướng quân"
97,0,Mua AI về giúp ban pick luôn
98,1,Vinh Trần Lê cút rấp
99,0,"theo tình hình hiện t thấy k nên dồn 1 đống nhân tài hẳn về 1 đội, san đều ra, cktg vn 2 slot mà
k lẽ 1 team gánh cả vcs, gam thì thôi mất hope từ cái msi vửa r nên việc ""slayder về gam"" thì t thấy nó lệch quá, để 1 2 team mạnh r đi vì tình hình bây… "
100,0,"Mong động thái này từ mùa trước stely1 nó không có khả năng phát triển thêm đâu , cần 1 à tài năng hơn trẻ cũng được , thêm 1 rừng trẻ để chuẩn bị thế levi là ok , levi mà nghỉ đưa lên làm huấn luyện viên cũng ok á, tậu thêm ren về beanj nữa , beanj tr… "
101,1,Ảnh hôi cúp VCS 
102,0,SE vs GAM cấu kết giúp nhau thoát pressing
103,0,Cuối cùng cũng tới
104,0,Đức Nam sì taiii
105,0,Kick Style xong đôn Zin lên làm adc thôi tao xin  Zin thì khác nào easy love đâu 
106,0,10cm gam cần anh vấp cỏ
107,0,Chúc e Style thành công trên màu áo mới.
108,0,GAM slayder
109,1,"Trong câu chuyện thầy bói xem voi, thì có ông sờ chân, sờ đuôi là ngu còn ông ngu nhất là Sờ Tai "
110,0,thoát pressing thành công
111,0,thank you sty1e thì mình lại là fan GAM hề hề
112,0,GAM ARTEMIS
113,0,GAM SHOGUN
114,0,2 tiếng nữa thanks you kati
115,0,Và welcome Optimus
116,0,Nguyễn Văn Vắt anh nguy chuẩn bị vào nhé hehe
117,0,"Kati luôn đánh tròn vai , những mùa cũ, Kati luôn là 1 trong những nhân tố ko thể thiếu nhưng qua 2 mùa liên tiếp thì ko thể phủ nhận dk nên thay mid, thay ad là 1 quyết định đúng đắn nên ko nói , dù j cx cảm ơn Sty1e vì những đóng góp của e"
118,0,OPTIMUS ADC SỐ 1 VIỆT NAM
119,0,Style sử dụng nhanh như điện lướt qua tường
120,0,A ta lướt nhanh quá out team luôn
121,0,GAM Shogun 
122,0,GAM Shogun hay GAM Artemis đây ta
123,0,Mới nói hùi trưa xong
124,0,"Cảm ơn Sty1e, mong bạn ổn định tâm lý hơn khi ra biển lớn"
125,0,Duc Nguyen j tới cũng sẽ tới
126,0,Giới thiệu cho Gam adking Hà Trung Nguyên
127,0,ad bể tướng mấy năm trời vẫn vậy. Ra thế giới farm thì toàn hụt
128,0,Một HLV tâm lý từng nói:
129,0,Có quả slayder với pale nữa thì lại mạnh quá
130,0,Cơ hội để Slayder vương tầm quốc tế đây rồi Gam Slayder
131,0,GAM Shogun
132,0,GAM Ren
133,0,Hiệp Gà apply đi anh
134,0,Nguyễn Tiến Đạt c.c.cuối cùng
135,1,Xứng đáng cút là chuẩn rồi 
136,1,Ad số 1 kênh Hoàng Luân bố sì lây đơ đi rồi bùn
137,0,Sau khi SE đưa ra một số tin chuyển nhượng khá khó hiểu thì GAM đã đưa ra một lựa chọn đúng đắn 
138,0,Ăn mừng thôiiiii
139,0,"làm một GAM con, tôi trân trọng những nỗ lực đóng góp của Sty1e. nhưng chia tay là điều cần làm cho đội lúc này. hẹn ngày tái ngộ"
140,0,"Thay máu v là chuẩn r, mục tiêu và tham vọng của đội k chỉ là vô địch vcs, sớm trở lại ở cktg nha, chúc đội thành công"
141,0,Nam Pham gam timeee
142,0,"Trước pressing nhiều giờ nghĩ lại cũng tội nghiệp
Bị kick kiểu này có khi thất nghiệp r giải nghệ luôn chứ làm gì có ai dám tuyển nửa. Tức thì tức chữ vẫn chúc Sì tai thành công trên con đường sắp tới"
143,0,Tui nghĩ sẽ cho Zin lên vị trí ad và kiếm thêm sp.
144,0,Cải thiện tâm lý và thành công ở team mới nhé em
145,1,Chắc mỗi tui mong th kati cút nhất
146,0,"Cuối cùng ngày này cũng đến, bỏ thì thương vương thì ra tật. Cũng buồn nhưng đây là cách tốt nhất để GAM thể hiện tốt hơn ngoài quốc tế."
147,2," vcl thật, nó vẫn i* lên đầu được khối ad ở VCS mà"
148,0,Phi vụ chuyển nhượng thành công nhất năm
149,1,bố m biết ngay mấy thằng style con
150,0,Anh Đức ngày này cũng tới 
151,0,Hy sinh style để tế thần
152,1,kick vội
153,0,hè này GAM Shogun hay GAM Artemis đây
154,0,Chia tay nốt Kati nữa là có tí hy vọng win đc wildcard r đấy 
155,0,"Nói thật th này đạo đức kh có , rank toxic tưởng hay , ban acc hàn hết , đánh thì bth , ngày đó cộng đồng mạng chửi, cố chấp lắm , th ráng mua shogun slayder về làm lại cktg"
156,0,Gam Shogun Slayder
157,2,"vcl chưa phải đợi 15 ngày , còn lâu hơn thời gian GAM ở bên LONDON nữa"
158,0,"Yeahhhh vô địch rồi, vô địch rồi vâng tôi cũng hạnh phúc......."
159,0,"Mỗi khi Gam cần, e sẵn sàng cống hiến"
160,0,"E 1 phát về nước về luôn cả nhà , out luôn cả team "
161,0,"Ôi khum rất là thích Sty1e luôn á
mong Sty1e sẽ đạt dc thành công khác em nhé"
162,0,"Không bất ngờ vì biết tin chuyển nhượng từ sớm rồi, ad mới này sẽ k khiến các fan thất vọng đâu nha"
163,0,"“Anh em đánh đi, tao chạy đây” - Rất tuyên dương bạn này khi đã giữ gìn, nối dõi được bản sắc dân tộc từ thời cha ông đã để lại “Có ăn tìm đến, thấy đòn tìm đi”"
164,0,Noway gam cần anh...
165,0,Thoát pressing ác quá
166,0,Queo căm Shogun
167,0,"Welcome Ren, welcome Shogun thì cái cktg VCS có hy vọng giữ lại 2 suất rồi"
168,2,Lâm Thắng dm tôi chờ tin này mãi ông ạ
169,0,1 pha thoát pressing tốt đến từ vị trí sờ ti 1 le
170,0,"Chúc mừng
GAM đã hiến tế cừu thành công để thoát pressing"
171,0,Rồi cũng đến lúc thôi mà
172,0,"Tôi có khả năng lao vào giữa đội hình địch thanh tẩy 0,01 giây rồi lại đi ra thanh thoát và nhẹ nhàng. Mong quý công ty xem xét !"
173,0,Levi + kiaya mãi đĩnh còn 3 lane khác thì hên xui
174,0,Pham Minh Quang ad tier S lại bị kick nhỉ
175,0,Thanks KaTi nữa ad ơi còn thiếu kìa nhanh nhanh làm ăn chậm chạp quá
176,0,còn thank you Zin nữa là ok con tê tê luôn
177,1,Khoa Tran Dang no mom go home
178,0,"Cảm ơn Style đã cống hiến hết mình cho màu áo vàng đen, chúc Style thành công"
179,0,Mong shogun giúp GAM cứng hơn
180,0,"Shogun, chúng tôi-GAM cần anh"
181,0,Sì tai E 1 phát về nước và ra khỏi GAM 
182,0,Triệu hồi Slayder
183,0,Style cầm con zeri E ra khỏi team Gam luôn
184,1,Cảm ơn đã cút 
185,0,Nguyễn Minh Quang Hốt Slayder hay Shogun là ngon
186,0,"Ơ style rời gam rồi cái team này đi về đâu
."
187,0,Chúc mừng gam
188,0,"quỹ lương mô đủ mà mua cặp Gun - Ki, phải bắt lẻ Slayder về cặp với Zin, levi mà còn chơi nữa thì nghe Der về chéc vui lắm, vai đỡ gánh"
189,1,Xạ thủ no mom dog go home nấu ăn r à =]] kick trễ quá mà vẫn bị pressing
190,0,Câu nói ám ảnh. Slayder win lane nhưng style win game 
191,0,"Thôi quả này Gam Shogun rồi , có ai ngoài Slayder vs Shogun bắn hay hơn Stlyle đâu nữa."
192,0,Chuẩn bị có bom tân welcome hoặc bom sịt .
193,0,Quyết định đúng đắn thứ 1 
194,0,nếu Gam cần tôi sẵn sàng cống hiến
195,0,"Ren với Shogun hoặc Slayder là chuẩn bài, giờ không phải là fan của đội nào nữa, giờ là fan của VCS, của LOL VN"
196,0,thoát pressing 
197,0,Cường Nguyễn tới rồi anh ơi  bận áo long bào lên
198,0,Chúc style có bến đỗ mới
199,0,"Ai pick Style về kìa, nó lướt E sang nhanh như 1 cơn gió luôn "
200,1,Hoàng Tỷ cook
201,1,Cook quá xứng đáng 
202,0,Mê cái cách anh này E ra khỏi đội hình GAM
203,0,Đậu Đức KhánhTuấn Dương tam biet gam phong cach
204,1,Kick luôn Kati đi hay bench nó đi cho tuyển thủ trẻ nó lên nó đánh
205,0,slayder tới chơi ròi
206,2,"Thg Style này đánh ra gì, đề nghị GAM gọi thg em Lê Trung Kiên của tôi vào team, thế lol nào cũng đi cktg "
207,0,"Cường 7 múi, gam cần anh"
208,0,1E định thiên hạ
209,0,Bắp Chí Hùng rồi lun pha này chắc chốt shogun lun
210,0,Qua TW cặp với Bie cx dc ấy
211,0,"Đây rồi, GAM Shogun here we go"
212,0,em sơn phong cách 
213,0,Tạm biệt GAM Kati nữa thì êm
214,0,bộ đôi shogun taki !! đánh cháy mấy cấp đầu nhìn bộ đôi hành luôn skt guma vs keria early luốn
215,0,"2 cái thanks you rồi mai 2 cái welcome Ren, welcome Shogun nữa là đẹp"
216,0,Welcome Sì Lay Đơ
217,0,Welcome Shogun liền
218,1,"Gần 3 năm vẫn không biết đánh aphe, dốt ác"
219,2," đánh nqu vãi bìu ra mà ko hiểu sao vào đc GAM , thằng này ko vào GAM thì chắc giờ đang ở team hạng B r"
220,1,Chính thức no mom k còn cup nữa
221,0,không còn chơi game nữa nhưng mà xem mấy trận thấy ông này toàn pick mỗi 1 tướng trận nào cx thế 
222,0,Chúc Style phát triển hơn ở bến đỗ mới nha
223,0,Gam Shogun 
224,0,Nói hỏng phải chê chứ nên bye Kati. Đánh 2 mùa rồi tâm lý vẫn kém thì thôi nghỉ
225,0,"Kati đánh quá an toàn , ad luôn thua đường , zin ok lắm mà đảo đường đi gank thì ad lại nát , đánh vs team gam hỗ trợ áp lực vcl , thấy slayder ko hỗ trợ đi gank nó đánh an toàn liền"
226,0,GAM Slayder chăng 
227,0,"Kì này về một em ad siêu cháy set up lại chiến thuật, chọn một ông call team chứ trận MSI gần đây t tưởng coi kiaya và 4 hồn ma"
228,0,Anh Thuy Le sờ tai 
229,0,Thoát pressing tốt quá
230,0,Chúc em.luôn thành công
231,0,Tks nốt Kati đi là GAM bước sang một kỷ nguyên mới
232,1,Chính thức trở lại fan GAM khi team kick th ngu này
233,0,Nộ CV vào GAM ở mail nào ạ
234,0,Có lẽ nào là cường 7 núi với con bài sivir đi ad cho gam
235,0,Bom tấn vinh cs
236,0,"Dù bây giờ đã xuất hiện nhiều tuyển thủ giỏi hơn, xong vẫn tôn trọng những thành tựu mà Sty1e đã đạt được. Đó là 1 điều mà tất cả mọi tuyển thủ đều mong ước. Vì một VN văn minh. Tôi tôn trọng và cảm ơn Sty1e."
237,0,GAM Slayder thì đống ông chuyển từ SE con sang GAM con
238,0,Húp Slayder đê
239,0,tôi biết bạn buồn nhưng fan lại phấn khởi cảm ơn sự cống hiến của bạn
240,0,vẫn thích và ủng hộ style
241,0,Sena gam cần anh
242,0,Bất ngờ qua'
243,2,Đánh như cc đéo kick mới lạ. Kick từ lúc đi lane với r7 mẹ rồi 
244,1,Đánh ngu thì kick
245,0,dọn đường cho Shogun hoặc Slayder là done rồi
246,0,Gam Shogun
247,0,C7N Gam cần ah
248,1,Kick Kati luôn đi
249,0,Tâm lí yếu sao vươn ra quốc tế được
250,0,Tin vui từ những địa phương trong tỉnh
251,0,và người đi ad mới của GAM là C7N
252,0,Nghĩ hơi buồn. E nó đã cố hết sức r. Ae cũng k nên phủ nhận công lao của e đó. Chúc cu e thành công ở team mới
253,0,Hay quá dọn đường cho shongun!!!
254,0,Nguyễn Quang Huy E vào ô cảm ơn luôn
255,0,Thanh Tú gam slayder gam shogun
256,0,"Hqua họp, dám đấm Levi với Kati, không thank you mới lạ"
257,0,thank you bati luôn là vừa
258,0,Hay quá ủng hộ team
259,0,Chính thức thành đầu bếp
260,0,thoát pressing vội
261,0,Ai nói gì nói riêng t thấy
262,0,Sty1e mặc giù mắc lỗi nhiều nhưng từ khi vào gam đến h luôn cố gắng cải thiện bản thân
263,0,Mặc giù nhiều khi xem thấy tức lắm nhưng củng phải công nhận nổ lực của sty1e … 
264,0,Chưa thấy thank you katinat nữa nhỉ
265,0,hiến tế thành công
266,0,Thoát kiếp pressing
267,0,"The Maker, GAM cần thiên phú của anh"
268,1,Giờ đố Sờ ty lè được nâng cúp 1 lần nữa  bú nhiêu đó đc r
269,0,Thôi mấy ba. Dù gì cũng chúc e nó thành công với đội khác chứ giờ chửi thì đc gì nữa đâu. Bực là bực trong game thôi.
270,0,"diaaaaa, vô địch rồiiiii"
271,1,Ui vl kick luôn à
272,0,T hóng thank you levi hơn
273,0,Welcome Siêu xạ thủ Slayderr
274,0,Chúc mừng GAM vô địch CKTG
275,0,Chúc e Sơn thành công
276,0,Mãi k nuôi đc 1 ad ra thế giới lại bảo lúc nào cx bị tâm lý lần đầu
277,0,Pha Thank you hay nhất hệ
278,0,SE Style và GAM Slayder
279,0,GAM Shogun pls !!!
280,0,Slayder GAM cần anh!!
281,0,Shogun Gam cần anhhh
282,0,"Gam Ren, Gam Shogun, Gam Slayder"
283,0,1ng buồn vạn người dui
284,0,chào mừng shogun về với gam cktg này gam vô địch
285,0,Kick xong văn ác 
286,0,GAM Slayer
287,0,Nút E này làm anh mất việc
288,0,thoát pressing h dễ thật 
289,0,Còn chờ gì nữa mà k Queo Com tướng quân Shogun đi GAM Esports LoL
290,2,"Cook mẹ đi, nhất xạ tứ nô meta mà méo biết chơi aphe, nhục vcl"
291,0,đội nào mua a Style giờ mới can đảm này
292,0,Tin tốt lành
293,0,Mê cái cách a này lướt E
294,0,"Dù gì cx đóng góp cho Gam , xứng đáng đc tôn trọng. Rp"
295,0,Thoát pressing
296,0, này thì sờ tai 
297,0,vì bạn xứng đáng
298,1,Tần Đai
299,0,GAM Slayder
300,1,"yahhhhhhhhhhhh vô địch rồi, kick cái thk ad tier 8 tỷ này ra thì vô địch r"
301,0,"k ngoài dự đoán, chờ mãi cái này thôi. Welcome slayder"
302,0,Minh Lê thoat pressing cuc hay
303,0,Chắc thông báo nhiều người mong đợi nhất
304,0,"T biết ngay, đi là đúng ko phải đánh ko hay mà ko hợp với captain. Nghe mic check là biết chyên call ngược với captain"
305,0,Sao sty1e lại rời đội vậy anh
306,0,Còn Zin Gam đánh thế giới không bao giờ nổi đánh VCS còn may cánh trên gánh
307,0," mùa sau sẽ là của chúng ta, GAM Slayder"
308,0,Hay quá t đợi lâu lắm rôif
309,0,Sty1e đi và Zin lên đánh ad lại ah 
310,0,"Cũng đã đến lúc nghẹn ngào, nói lời chào "
311,0,Đỗ Đăng tế thần liền
312,0,GAM shogun
313,0,Thứ chúng tôi cần là Thank You Hàng Cây và Welcome Ren
314,0,"Tin chuẩn rồi nhé Kiệt Vũ, không cần dùng html nữa đâu"
315,0,nai xừ
316,0,Hưng Dương welcome gam duc gam hung là ping này
317,0,"Ku này đánh ổn sau Noway, mà giai đoạn quan trọng cứ sao sao á  thôi thì bye em nó, hóng Slayder về "
318,0,Shogun gogo
319,0,đây chắc chắn là bài Thank You nhiều người mong chờ nhất
320,0,"Hài lòng, nhưng đừng mang Zin lên làm xạ thủ nhé!"
321,1,Chia buồn vì từ giờ bạn không còn được ăn hôi cúp nữa
322,0,slayer gam cần anh
323,2,"Đánh ngu bỏ mẹ, đột quỵ chứ đột biến gì"
324,0,C7n GAM cần anh
325,0,1 cái lướt E bay luôn khỏi team
326,0,qua3 bom tan dau tien da bat dau lo dien
327,0,Trần Hồ Gia Bảo lét gô
328,0,Vô địch rồi
329,0,thứ tôi muốn nhìn thấy có lẽ phải xuất hiện từ năm ngoái
330,0,Sờ li lè bét jerry ;
331,1,đáng ra phải làm thế này từ lâu r  thằng ăn hại này ăn lương rồi báo giờ mới thấy nhục mà out à  còn thằng kati nữa 
332,0,thank kiu sì tai
333,1,Thắng chưa chắc do style nhưng thua chắc chắn do style. Let's him cook!
334,0,Khi nào mới đến ngài Phê 
335,0,8 ngôi sao mà ko sáng nổi cái nào
336,0,"Vào team hạng 1 vào đánh như hạng 8 , out là hợp lý rồi"
337,0,GAM TLong rồi anh em
338,1,hoi cup style
339,1,Thay style1 thay Kati thay nốt thằng zin
340,0,GAM nói lời chia tay HLV Hankay nữa là thoát này
341,0,thoát pressing khéo bánh quá
342,1,Nhảy phát cook luôn 
343,2,go home mẹ luôn 
344,0,GAM Artemis !
345,0,T nghĩ gam sẽ thay cặp bot hoặc đơn giản hơn là vị trí ad. Tiếp theo đó đẩy hankay về lại đúng với trí và chiêu mộ ren hoặc 1hlv kỳ cựu nào đó về
346,0,Lấy luôn cặp bot sgb về chuẩn đội hình
347,0,GAM Vịttttt nhé
348,0,GAM slayder vô địch mùa hè luôn khỏi cần đánh
349,2,Lại đéo bất ngờ 
350,2,"Bố cái thằng No Mom Tao ngứa mắt từ vụ chửi bên Hàn rồi Giờ Cút khỏi thi đấu luôn càng Tốt
Gam Đần"
351,0,Nguyễn Văn Hậu GAM Shogun coming
352,0,GAM Slayderrrrrrr
353,0,Siêu xạ thủ xì tai ông vua VCS
354,0,GAM vô địch CKTG tới nơi rồi
355,0,Nguyễn Minh Việt mua long bào cho mùa hè anh ơi 
356,0,Thân ái và không hẹn gặp lại
357,0,E cái mang cả gam từ MSI về lun
358,0,mê cái cách anh này dùng E về nước
359,0,Khánh Quách tui fan GAM lại nè cậu
360,0,"Ngonnn, mở hội ăn mừng thôi"
361,0,Mấy ông có trả đồng lương nào hay tài trợ cho Gam ko mà đòi chia tay với tuyển quân vậy... Haizzz hỏng hết 1 thế hệ. Style em nó ra thế giới vẫn thể hiện tốt mà sao ko cho e ấy thêm cơ hội ....
362,0,phải thoát pressing thôi
363,0,không bất ngờ
364,1,Đáng lẽ nó nên cook sớm hơn
365,0,Lê Hữu Nam thoát pressing ác
366,0,Thôi chạy là hợp lí
367,2,"đúng, đuổi là đúng thank u cái cc thằng cc one champ zeri đánh ngứa dái vcl"
368,0,Phương Nam nhấn có cái nút E con zeri mà sao đi xa quá 
369,0,GAM Slayderrrrr
370,0,thương vụ bạc tỷ
371,0,"Mê cái cách anh này nhảy E, nhảy xong về nước luôn "
372,0,Ngài kati đánh cũng ra gì lắm  mà vẫn chưa thấy tin thank you
373,0,Đem shogun hoặc slayder về thì bú
374,0,Thank you Kati nữa là đẹp
375,1,"Tao nói có sai, bữa có mấy thằng trẩu vô gân cổ cãi to lắm "
376,0,Nice xừ
377,0,Gam Slayder cùng đi cktg
378,0,Dũng Bùi ĐÂY RỒI GAM SHOGUN HERE WE GO
379,0,rồi Slayder hay Sho-t-Gun đây
380,0,Đưa zin ad xong lấy bie về hoặc bot shogun zin
381,0,Slayder mà sang đây là -1 se con rồi...méo có hy vọng gì luôn @@@
382,0,Đc artemis hay shogun về GAM thì ngon
383,0,chuyện sớm muộn nên mình phải happy với n 
384,1,gun đầm chịu thanh lọc rồi à
385,0,Hiến tế 2 anh Sơn
386,1,kick vội 
387,0,Rồi khi nào giải thể team GAM thì lên bài luôn 1 thể cho lẹ
388,0,AD shogun
389,0,SP taki hoặc bie cũng đc
390,0,Vậy Playcool sẽ đánh AD à
391,0,Xạ thủ mới có chữ S và O trong tên chắc luôn 
392,1,"Ngu thì cút khóc lóc gì, no mom còn 0-3"
393,1,Đây chắc chắn là tin vui với người hâm mộ GAM cmnr  phiên bản mới này quay lại là mùa của ADC thì đúng là nên cần 1 AD ổn chứ không phải ông Sty1e này 
394,0,Chia tay levi với kati luôn đi
395,0,yeahh vô địch rồiiii
396,0,Thích cái cách anh này một nút bình thiên hạ 
397,0,mê cái cách anh E về nước
398,0,Ngơ Ngáo gam thoát pressing
399,0,Nào nào Slayder hay Shogun cũng đc
400,0,"Mang Shogun về điiiii, Please !!!"
401,0,Chờ tin này mấy mùa rồi ông này đánh chán thật sự chưa thấy tỏa sáng dc tuyển slayder về là cứng đội hình
402,0,Slayder + Ren combo hoàn hảo cho gam.
403,0,thoat pressing
404,0,Shotgun hể ưe go
405,0,Còn thank you kati nữa là ok
406,0,mang shogun về là bing
407,0,mê cái cách a ấy bay E về VN
408,0,1 pha thoát pressing cực căng
409,0,Chúng tôi cần ELYTS
410,0,"Sena , gam cần anh"
411,0,"Style nên đi chứ đánh ở 1 cái team tấu hài là chủ yếu, đánh ăn lương k có chí tiến thủ thì nên đi em à"
412,0,Sang CES là ổn nhất
413,0,Nhân Nouzen má hắ
414,0,"Tháo tạ được 1 bên rồi , còn 1 bên nữa thôi"
415,1,Phong cách nấu ăn
416,0,Gam cũng biết chọn thời điểm đăng bài lắm 
417,1,Kích đi chứ hôi cúp
418,1,Thay HLV nữa là ok Gân đàm ạ
419,0,GAM REN GAM SOGUN
420,0,Thank you sờ ti lè
421,0,Cktg năm nay GAM đi sẽ có thành tích cao
422,0,Giải thể
423,0,GAM Divkid !
424,0,GAM Shogun là đẹp
425,0,Tuấn Kiệt GAM có thể xem xét bạn em
426,0,GAM Shogun Với GAM Taki là chuẩn bài kkk
427,1,Đáng ra phải cú t sớm hơn
428,0,GAM Slayder 
